Taxa,Value
Taxa_000,0.7617839080466773
Taxa_001,0.24802049243544666
Taxa_002,0.8336701401344396
Taxa_003,0.5504450894683031
Taxa_004,0.7083780343268768
Taxa_005,0.6169890470734547
Taxa_006,0.8543882997472959
Taxa_007,0.9645794523395514
Taxa_008,0.505082991812892
Taxa_009,0.6998463279564283
Taxa_010,0.14136268989453105
Taxa_011,0.46976558083736275
Taxa_012,0.1457725355865751
Taxa_013,0.07581460872261425
Taxa_014,0.8930670134201121
Taxa_015,0.2933555847860706
Taxa_016,0.37811997649752305
Taxa_017,0.9773431914769749
Taxa_018,0.6893060388550726
Taxa_019,0.4283437021880828
Taxa_020,0.9353986262315819
Taxa_021,0.11340850499854416
Taxa_022,0.3969123079149399
Taxa_023,0.6535966792811007
Taxa_024,0.6299777873044521
Taxa_025,0.6946344965612027
Taxa_026,0.4606719329267671
Taxa_027,0.7795527865393665
Taxa_028,0.1193044265570874
Taxa_029,0.8405844400342027
Taxa_030,0.07870565935375717
Taxa_031,0.016353756659691077
Taxa_032,0.3477429947159494
Taxa_033,0.36417198413616925
Taxa_034,0.3904439686005192
Taxa_035,0.38912580865488045
Taxa_036,0.5015531566186971
Taxa_037,0.44948567629607117
Taxa_038,0.5351198357460079
Taxa_039,0.7124077300323256
Taxa_040,0.71041300925853
Taxa_041,0.6394833019396473
Taxa_042,0.7551959592099248
Taxa_043,0.10687399460474178
Taxa_044,0.9803913614400478
Taxa_045,0.2868153401824435
Taxa_046,0.9065650051448182
Taxa_047,0.8897501765958352
Taxa_048,0.5341092249500726
Taxa_049,0.7316229043152622
