Taxa,Value
Taxa_000,0.37374801736221175
Taxa_001,0.48314096572387677
Taxa_002,0.7817765476712809
Taxa_003,0.9849566489680226
Taxa_004,0.6081364079243529
Taxa_005,0.9873498267396822
Taxa_006,0.5776581765515967
Taxa_007,0.6730827762730986
Taxa_008,0.7425010501909608
Taxa_009,0.4324245879576314
Taxa_010,0.6207383826925215
Taxa_011,0.8736545542418317
Taxa_012,0.8174889743347449
Taxa_013,0.8364952670314519
Taxa_014,0.5227410989722958
Taxa_015,0.23248255690360753
Taxa_016,0.9325901757303842
Taxa_017,0.7489809152512213
Taxa_018,0.7806169718773647
Taxa_019,0.46681422720218735
Taxa_020,0.6238207505119742
Taxa_021,0.273743875889502
Taxa_022,0.4608561734738733
Taxa_023,0.139732068735126
Taxa_024,0.5265957259006231
Taxa_025,0.08512703504780983
Taxa_026,0.8650935868344198
Taxa_027,0.07763308060304797
Taxa_028,0.5323199493535103
Taxa_029,0.28451754339099844
Taxa_030,0.76661985124053
Taxa_031,0.4104574126360827
Taxa_032,0.5530979329725979
Taxa_033,0.49073937394543254
Taxa_034,0.5678946048011012
Taxa_035,0.08367071321604425
Taxa_036,0.5603534523516718
Taxa_037,0.4389131032816954
Taxa_038,0.4611731285945859
Taxa_039,0.20785633244196533
Taxa_040,0.508915880218319
Taxa_041,0.8513901771455628
Taxa_042,0.17232615466014456
Taxa_043,0.3750343938967128
Taxa_044,0.5781964249406092
Taxa_045,0.369988903287396
Taxa_046,0.046232247907264434
Taxa_047,0.8323127772668056
Taxa_048,0.3313581150322902
Taxa_049,0.41637729317213834
