Taxa,Value
Taxa_000,0.2666702426422142
Taxa_001,0.21328994240671173
Taxa_002,0.6382214898083237
Taxa_003,0.2826111719925909
Taxa_004,0.11825503483110833
Taxa_005,0.7136302359944946
Taxa_006,0.38871109441440965
Taxa_007,0.033310582147129675
Taxa_008,0.48977238556802905
Taxa_009,0.9563323488208182
Taxa_010,0.333467986482361
Taxa_011,0.9231671450061874
Taxa_012,0.42150454076727584
Taxa_013,0.023824997255299407
Taxa_014,0.3230831673518455
Taxa_015,0.28541481838367344
Taxa_016,0.10726086367802679
Taxa_017,0.08435239028386632
Taxa_018,0.06558984842462245
Taxa_019,0.46020585021749016
Taxa_020,0.7456318724532062
Taxa_021,0.03616376600365501
Taxa_022,0.07401120967128727
Taxa_023,0.05824354136769461
Taxa_024,0.7265202183240181
Taxa_025,0.17259150247586952
Taxa_026,0.38771485211057455
Taxa_027,0.19635603000905832
Taxa_028,0.3884340315584176
Taxa_029,0.06325827848421395
Taxa_030,0.9534126683593221
Taxa_031,0.6778377767149988
Taxa_032,0.06850709942764832
Taxa_033,0.20342654574211916
Taxa_034,0.49628233145258993
Taxa_035,0.32755608645805856
Taxa_036,0.13468178108292006
Taxa_037,0.4010474765007628
Taxa_038,0.8823193340415342
Taxa_039,0.42935497666563904
Taxa_040,0.10782549238235906
Taxa_041,0.8138471124190276
Taxa_042,0.9599220480372396
Taxa_043,0.899667290043875
Taxa_044,0.24694817295791105
Taxa_045,0.6333977004016567
Taxa_046,0.7857316820112762
Taxa_047,0.7640316114686119
Taxa_048,0.5942792885730103
Taxa_049,0.0013338308685374445
