Taxa,Value
Taxa_000,0.425789949809133
Taxa_001,0.026562161634916537
Taxa_002,0.07604309302926682
Taxa_003,0.7033229546412006
Taxa_004,0.8971175511135412
Taxa_005,0.5383881653509337
Taxa_006,0.0011539875505864883
Taxa_007,0.31454529994475655
Taxa_008,0.5493064018272944
Taxa_009,0.6481431557918284
Taxa_010,0.8676987321347047
Taxa_011,0.2903893262390983
Taxa_012,0.3905588138158166
Taxa_013,0.7833513756208575
Taxa_014,0.8729228646569761
Taxa_015,0.3383797782432435
Taxa_016,0.475583015832033
Taxa_017,0.26574760990903223
Taxa_018,0.16980335191710227
Taxa_019,0.7628527686521274
Taxa_020,0.7716420904212283
Taxa_021,0.008671590140899021
Taxa_022,0.0870647333352057
Taxa_023,0.8934479534624179
Taxa_024,0.959385627844663
Taxa_025,0.7958430428155736
Taxa_026,0.8023172648527275
Taxa_027,0.21951754436892268
Taxa_028,0.784668196645814
Taxa_029,0.10260359248164241
Taxa_030,0.562002417736349
Taxa_031,0.971327078257142
Taxa_032,0.46344739540040614
Taxa_033,0.275423803281447
Taxa_034,0.4671523743195303
Taxa_035,0.495247103341648
Taxa_036,0.13327392467379728
Taxa_037,0.14722668215695245
Taxa_038,0.8892872518331101
Taxa_039,0.42732416001624496
Taxa_040,0.3937606271908052
Taxa_041,0.701434250774738
Taxa_042,0.5717603197813859
Taxa_043,0.05373323825941012
Taxa_044,0.9631820529365082
Taxa_045,0.11216879666795876
Taxa_046,0.00939412086985647
Taxa_047,0.8821180484935722
Taxa_048,0.6288874441128744
Taxa_049,0.8824109485002342
